ID,Address,Combined ,Lat,Long
112,Preston Fall City Rd SE and SE 86th St Preston WA 98027,"47.524068778837794, -121.92740617313792",47.52406878,-121.9274062
113,8625 310th Ave SE Preston WA 98024,"47.52362482078712, -121.92909324245097",47.52362482,-121.9290932
114,"SE High Point Way, North of SE 82nd St Preston WA 98027","47.52325520077826, -121.93468404090818",47.5232552,-121.934684
115,"Preston Snoqualmie Trail Site SE High Point Way, North of SE 82nd St to 372nd SE and SE 68th St Preston WA 98027","47.54261607439113, -121.90786727131012",47.54261607,-121.9078673
116,224th Ave NE and NE 112th St Redmond WA 98053,"47.698539027055894, -122.06256997962413",47.69853903,-122.06257
117,33512 SE Redmond-Fall City Rd Fall City WA 98024,"47.568923532491226, -121.8922328884798",47.56892353,-121.8922329
118,Kingsbury Rd SW & 80th Ave SW Vashon WA 98070,"47.392852240897994, -122.43511621547107",47.39285224,-122.4351162
119,Preston Fall City Rd and SE 68th St Preston WA 98024,"47.54002363431065, -121.9097643019732",47.54002363,-121.9097643
120,258th Ave NE and NE 8th St Sammamish WA 98053,"47.615834080651084, -121.99557974614986",47.61583408,-121.9955797
121,SE Kent Kangley Rd and 272nd Ave S Ravensdale WA 98051,"47.3591856046186, -121.98185763266704",47.3591856,-121.9818576
122,284th Ave SE and SE Kent Kangley Rd Ravensdale WA 98051,"47.35775778491359, -121.96783765965186",47.35775778,-121.9678377
123,22915 NE Alder Crest Dr Redmond WA 98053,"47.691287210075345, -122.03419759588013",47.69128721,-122.0341976
124,NE Alder Crest Way and 231st Way NE Redmond WA 98053,"47.69250780766924, -122.03594771108396",47.69250781,-122.0359477
125,NE 133rd St and 211th Pl NE Woodinville WA 98072,"47.71902192965161, -122.05701165963838",47.71902193,-122.0570117
126,NE 133rd St and 216th Ave NE Redmond WA 98072,"47.717797370295855, -122.04739341545911",47.71779737,-122.0473934
127,130th Place SE and SE 172nd Renton WA 98058,"47.45171180402974, -122.16613894305846",47.4517118,-122.1661389
128,232nd Ave NE and NE 162nd St Duvall WA 98077,"47.745257853961284, -122.02948347312977",47.74525785,-122.0294835
129,96th Ave NE and NE Bothell Way to 6046 West Lake Sammamish Pkwy NE Woodinville WA 98072,"47.75077595564263, -122.16400379119472",47.75077596,-122.1640038
130,107th Ave SW & SW 153rd St Vashon WA 98070,"47.46712511298277, -122.46576539512961",47.46712511,-122.4657654
131,SE 100th St and 128th SE Renton WA 98059,"47.51380644987212, -122.16993471731776",47.51380645,-122.1699347
132,NE 116th St and 154th Pl NE Redmond WA 98052,"47.70492801842809, -122.13383494429546",47.70492802,-122.1338349
133,S 120th Pl and 70th Pl S Seattle WA 98178,"47.49463751105612, -122.24537193266205",47.49463751,-122.2453719
134,NE 205th St and Hwy 203 to Cedar Falls Rd SE and SE 192nd St Carnation WA 98014,"47.740364637109344, -121.98885224762785",47.74036464,-121.9888522
135,25992 NE 8th St Sammamish WA 98053,"47.61562361981618, -121.9953610308064",47.61562362,-121.995361
136,140th Ave SE and SE 206th St Kent WA 98042,"47.416902416318955, -122.15936511699717",47.41690242,-122.1593651
137,140th Way SE and Hwy 169 to SE 266th St and 148th SE Kent WA 98042,"47.363986363405544, -122.1438247638878",47.36398636,-122.1438248
138,SE 216th and 148th Avenue SE Kent WA 98058,"47.408802070668436, -122.14400777499354",47.40880207,-122.1440078
139,S 358th St and Military Road S Auburn WA 98001,"47.28086612781146, -122.27420150198292",47.28086613,-122.2742015
140,18356 West Spring Lake Dr Renton WA 98059,"47.43786000126371, -122.09323994430528",47.43786,-122.0932399
141,SE 111th St and Issaquah-Hobart Rd Issaquah WA 98027,"47.503325019016906, -122.02256190197465",47.50332502,-122.0225619
142,1321 SW 102nd St Seattle WA 98146,"47.51189564584118, -122.35207790197433",47.51189565,-122.3520779
143,Carnation Duvall Rd NE and NE Stillwater Hill Rd Carnation WA 98014,"47.6829635775273, -121.91993450011681",47.68296358,-121.9199345
144,Approximately 323rd Ave SE and SE 285th St Ravensdale WA 98051,"47.35188094328077, -121.9032732698723",47.35188094,-121.9032733
145,433rd Ave SE and SE Mt. Si Rd North Bend WA 98045,"47.48322104608154, -121.75597405964717",47.48322105,-121.7559741
146,276th Ave SE and 192nd St or SE 208th St and 295th Pl SE Hobart WA 98038,"47.429224982530954, -121.97281434615684",47.42922498,-121.9728143
147,8394 North Fork Rd SE Snoqualmie WA 98045,"47.52914679769022, -121.76892357128662",47.5291468,-121.7689236
148,900 North Bend Blvd N North Bend WA 98045,"47.50343103152042, -121.7938687308105",47.50343103,-121.7938687
149,31020 NE 40th St Carnation WA 98014,"47.644431459480366, -121.92171456149241",47.64443146,-121.9217146
150,100th Ave NE and NE 64th St to NE 132nd St and Big Rock Rd Woodinville WA 98072,"47.73635196502796, -122.14776510510427",47.73635197,-122.1477651
151,NE 162nd St and 208th Ave NE to NE Woodinville Duvall Rd and 210th Ave NE Woodinville WA 98077,"47.75497686584277, -122.05508667140822",47.75497687,-122.0550867
152,122nd Ave NE and Woodinville Drive NE to 154th Ave NE and NE 81st St Woodinville WA 98072,"47.739658413702585, -122.17946909110837",47.73965841,-122.1794691
153,188th Ave SE and SE 170th St Renton WA 98055,"47.450102307023904, -122.09021234430485",47.45010231,-122.0902123
154,SW 102nd St and 7th Ave SW Seattle WA 98146,"47.51217580495755, -122.34370157498965",47.5121758,-122.3437016
155,102nd Street SW and 12th Avenue SW Burien WA 98146,"47.51212774503996, -122.3502949019743",47.51212775,-122.3502949
156,SE Green Valley Rd and 218th Ave SE Auburn WA 98092,"47.28379777557216, -122.05335401732626",47.28379778,-122.053354
157,650 SW Campus Drive Federal Way WA 98023,"47.29518241609509, -122.34308047499763",47.29518242,-122.3430805
,Steosaurus Butte Trailhead,"47.54630827454635, -121.53967224033903",47.54630827,-121.5396722
