"year","leaid","lea_name","state_name","city_location","zip_location","latitude","longitude","county_name","agency_type","enrollment","est_population_5_17_poverty","est_population_5_17_poverty_pct","read_test_pct_prof_midpt","math_test_pct_prof_midpt","rev_total","salaries_total"
"2015","5300333","Summit Public School: Olympus","Washington","Tacoma","98421","47.24103","-122.429121","Pierce County","Charter agency","103","","","","","Missing/not reported","Missing/not reported"
"2015","5300334","Summit Public School: Sierra","Washington","Seattle","98104","47.59792","-122.318401","King County","Charter agency","111","","","","","Missing/not reported","Missing/not reported"
"2015","5300335","Rainier Prep Charter School District","Washington","Seattle","98168","47.511793","-122.317878","King County","Charter agency","166","","","","","Missing/not reported","Missing/not reported"
"2015","5300336","SOAR Academy Charter District","Washington","Tacoma","98405","47.24029","-122.449481","Pierce County","Charter agency","84","","","","","Missing/not reported","Missing/not reported"
"2015","5300337","Spokane International Academy","Washington","Spokane","99217","47.704128","-117.370588","Spokane County","Charter agency","155","","","","","Missing/not reported","Missing/not reported"
"2015","5300338","Green Dot Public Schools Washington State Charter District","Washington","Seattle","98134","47.557426","-122.332165","King County","Charter agency","210","","","","","Missing/not reported","Missing/not reported"
"2015","5300339","PRIDE Prep Charter School District","Washington","Spokane","99202","47.657224","-117.39876","Spokane County","Charter agency","154","","","Suppressed data","Suppressed data","Missing/not reported","Missing/not reported"
"2015","5300380","Battle Ground School District","Washington","BATTLE GROUND","98604","45.72972","-122.5581","Clark County","Regular local school district","13571","1364","0.089867","63","51","155987000","79612000"
"2015","5300390","Bellevue School District","Washington","BELLEVUE","98005","47.61058","-122.178731","King County","Regular local school district","20047","1347","0.065148","82","77","339568000","154131000"
"2015","5300420","Bellingham School District","Washington","BELLINGHAM","98225","48.75935","-122.487001","Whatcom County","Regular local school district","11312","1688","0.13647","70","58","155588000","82209000"
"2015","5300450","Benge School District","Washington","BENGE","99105","46.910131","-118.100413","Adams County","Regular local school district","13","0","0","24.5","75","440000","163000"
"2015","5300480","Bethel School District","Washington","Spanaway","98387","47.096826","-122.425454","Pierce County","Regular local school district","18941","2826","0.1395","56","44","246041000","121387000"
"2015","5300510","Bickleton School District","Washington","BICKLETON","99322","45.998499","-120.292849","Klickitat County","Regular local school district","86","11","0.177419","64.5","74.5","3460000","1101000"
"2015","5300570","Blaine School District","Washington","BLAINE","98230","48.993407","-122.638651","Whatcom County","Regular local school district","2235","300","0.125786","59","47","30114000","15493000"
"2015","5300630","Boistfort School District","Washington","CURTIS","98538","46.54941","-123.132715","Lewis County","Regular local school district","95","24","0.164384","44.5","34.5","1515000","601000"
