,year,ncessch,school_name,state_name,lea_name,zip_location,latitude,longitude,county_code,school_level,school_type
369,2015,530771001149,Chief Sealth International High School,Washington,Seattle Public Schools,98126,47.52863,-122.366151,53033.0,High,Regular school
370,2015,530771001150,Cleveland High School STEM,Washington,Seattle Public Schools,98108,47.552310999999996,-122.314016,53033.0,High,Regular school
371,2015,530771001151,Frantz Coe Elementary School,Washington,Seattle Public Schools,98119,47.640795000000004,-122.365664,53033.0,Primary,Regular school
372,2015,530771001154,Concord International School,Washington,Seattle Public Schools,98108,47.523584,-122.32451499999999,53033.0,Primary,Regular school
373,2015,530771001157,B F Day Elementary School,Washington,Seattle Public Schools,98103,47.654740000000004,-122.34913999999999,53033.0,Primary,Regular school
374,2015,530771001158,Dearborn Park International School,Washington,Seattle Public Schools,98108,47.552333000000004,-122.296195,53033.0,Primary,Regular school
375,2015,530771001161,Dunlap Elementary School,Washington,Seattle Public Schools,98118,47.52517,-122.27468200000001,53033.0,Primary,Regular school
376,2015,530771001162,Eckstein Middle School,Washington,Seattle Public Schools,98115,47.682386,-122.295014,53033.0,Middle,Regular school
377,2015,530771001163,Emerson Elementary School,Washington,Seattle Public Schools,98118,47.514758,-122.258752,53033.0,Primary,Regular school
378,2015,530771001168,Franklin High School,Washington,Seattle Public Schools,98144,47.576039,-122.293139,53033.0,High,Regular school
379,2015,530771001169,Kimball Elementary School,Washington,Seattle Public Schools,98144,47.574425,-122.30293300000001,53033.0,Primary,Regular school
380,2015,530771001171,Garfield High School,Washington,Seattle Public Schools,98122,47.605290000000004,-122.30186100000002,53033.0,High,Regular school
381,2015,530771001172,Gatewood Elementary School,Washington,Seattle Public Schools,98136,47.540208,-122.38843899999999,53033.0,Primary,Regular school
382,2015,530771001173,Bailey Gatzert Elementary School,Washington,Seattle Public Schools,98122,47.60113,-122.315496,53033.0,Primary,Regular school
383,2015,530771001175,Graham Hill Elementary School,Washington,Seattle Public Schools,98118,47.5457,-122.26851,53033.0,Primary,Regular school
384,2015,530771001176,Green Lake Elementary School,Washington,Seattle Public Schools,98103,47.676253,-122.32839299999999,53033.0,Primary,Regular school
385,2015,530771001177,Greenwood Elementary School,Washington,Seattle Public Schools,98117,47.687287,-122.359907,53033.0,Primary,Regular school
386,2015,530771001180,Hamilton International Middle School,Washington,Seattle Public Schools,98103,47.65745,-122.338021,53033.0,Middle,Regular school
387,2015,530771001182,West Seattle Elementary School,Washington,Seattle Public Schools,98126,47.541686,-122.37398600000002,53033.0,Primary,Regular school
388,2015,530771001183,Highland Park Elementary School,Washington,Seattle Public Schools,98106,47.525585,-122.348658,53033.0,Primary,Regular school
389,2015,530771001187,Ingraham High School,Washington,Seattle Public Schools,98133,47.725745,-122.336904,53033.0,High,Regular school
390,2015,530771001192,John Hay Elementary School,Washington,Seattle Public Schools,98109,47.632926,-122.35221899999999,53033.0,Primary,Regular school
391,2015,530771001193,John Rogers Elementary School,Washington,Seattle Public Schools,98125,47.707103000000004,-122.28466599999999,53033.0,Primary,Regular school
392,2015,530771001195,Lafayette Elementary School,Washington,Seattle Public Schools,98116,47.57997,-122.387148,53033.0,Primary,Regular school
393,2015,530771001197,John Stanford International School,Washington,Seattle Public Schools,98105,47.657090999999994,-122.32386799999999,53033.0,Primary,Regular school
394,2015,530771001198,Laurelhurst Elementary School,Washington,Seattle Public Schools,98105,47.66219,-122.27784299999999,53033.0,Primary,Regular school
395,2015,530771001199,Lawton Elementary School,Washington,Seattle Public Schools,98199,47.657095,-122.390495,53033.0,Primary,Regular school
396,2015,530771001201,Leschi Elementary School,Washington,Seattle Public Schools,98122,47.602218,-122.291627,53033.0,Primary,Regular school
397,2015,530771001205,Lowell Elementary School - Seattle,Washington,Seattle Public Schools,98102,47.624811,-122.31841499999999,53033.0,Primary,Regular school
398,2015,530771001206,Loyal Heights Elementary School,Washington,Seattle Public Schools,98117,47.686467,-122.389288,53033.0,Primary,Regular school
399,2015,530771001207,Madison Middle School,Washington,Seattle Public Schools,98116,47.572914000000004,-122.39028200000001,53033.0,Middle,Regular school
400,2015,530771001209,Maple Elementary School,Washington,Seattle Public Schools,98108,47.557990999999994,-122.31889299999999,53033.0,Primary,Regular school
401,2015,530771001212,McClure Middle School,Washington,Seattle Public Schools,98119,47.636757,-122.358575,53033.0,Middle,Regular school
402,2015,530771001214,McGilvra Elementary School,Washington,Seattle Public Schools,98112,47.634021000000004,-122.28481299999999,53033.0,Primary,Regular school
403,2015,530771001216,Madrona K-8 School,Washington,Seattle Public Schools,98122,47.612293,-122.29089599999999,53033.0,Primary,Regular school
404,2015,530771001219,Montlake Elementary School,Washington,Seattle Public Schools,98112,47.640644,-122.304252,53033.0,Primary,Regular school
405,2015,530771001221,John Muir Elementary School,Washington,Seattle Public Schools,98144,47.573365,-122.290826,53033.0,Primary,Regular school
406,2015,530771001222,Nathan Hale High School,Washington,Seattle Public Schools,98125,47.707683,-122.29466699999999,53033.0,High,Regular school
407,2015,530771001223,North Beach Elementary School,Washington,Seattle Public Schools,98117,47.69481,-122.38711599999999,53033.0,Primary,Regular school
408,2015,530771001225,Northgate Elementary School,Washington,Seattle Public Schools,98125,47.714754,-122.329315,53033.0,Primary,Regular school
409,2015,530771001226,Nova High School,Washington,Seattle Public Schools,98122,47.604408,-122.305089,53033.0,High,Other/alternative school
410,2015,530771001228,Olympic Hills Elementary School,Washington,Seattle Public Schools,98125,47.723956,-122.30696299999998,53033.0,Primary,Regular school
411,2015,530771001229,Olympic View Elementary School,Washington,Seattle Public Schools,98115,47.698161,-122.32112099999999,53033.0,Primary,Regular school
412,2015,530771001234,South Lake High School,Washington,Seattle Public Schools,98118,47.5245,-122.271551,53033.0,High,Other/alternative school
413,2015,530771001236,Rainier Beach High School,Washington,Seattle Public Schools,98118,47.524526,-122.26631,53033.0,High,Regular school
414,2015,530771001239,Roosevelt High School,Washington,Seattle Public Schools,98115,47.677287,-122.31276299999999,53033.0,High,Regular school
415,2015,530771001240,Roxhill Elementary School,Washington,Seattle Public Schools,98126,47.518,-122.37090900000001,53033.0,Primary,Regular school
416,2015,530771001242,Sacajawea Elementary School,Washington,Seattle Public Schools,98115,47.698484,-122.30751699999999,53033.0,Primary,Regular school
417,2015,530771001244,Sanislo Elementary School,Washington,Seattle Public Schools,98106,47.539871999999995,-122.358833,53033.0,Primary,Regular school
418,2015,530771001245,Schmitz Park Elementary School,Washington,Seattle Public Schools,98116,47.572655,-122.396592,53033.0,Primary,Regular school
419,2015,530771001249,Aki Kurose Middle School,Washington,Seattle Public Schools,98118,47.546504999999996,-122.28249299999999,53033.0,Middle,Regular school
420,2015,530771001251,Stevens Elementary School,Washington,Seattle Public Schools,98112,47.631887,-122.30811499999999,53033.0,Primary,Regular school
421,2015,530771001253,Thornton Creek Elementary School,Washington,Seattle Public Schools,98115,47.685569,-122.28250700000001,53033.0,Primary,Other/alternative school
422,2015,530771001255,Van Asselt Elementary School,Washington,Seattle Public Schools,98108,47.538028000000004,-122.29616899999999,53033.0,Primary,Regular school
423,2015,530771001256,View Ridge Elementary School,Washington,Seattle Public Schools,98115,47.680581,-122.276103,53033.0,Primary,Regular school
424,2015,530771001259,Washington Middle School,Washington,Seattle Public Schools,98144,47.598394,-122.30388500000001,53033.0,Middle,Regular school
425,2015,530771001261,Wedgwood Elementary School,Washington,Seattle Public Schools,98115,47.690553,-122.29711999999999,53033.0,Primary,Regular school
426,2015,530771001262,West Seattle High School,Washington,Seattle Public Schools,98116,47.576899,-122.384499,53033.0,High,Regular school
427,2015,530771001263,West Woodland Elementary School,Washington,Seattle Public Schools,98107,47.670158,-122.36265300000001,53033.0,Primary,Regular school
428,2015,530771001264,Whitman Middle School,Washington,Seattle Public Schools,98117,47.697075,-122.37775400000001,53033.0,Middle,Regular school
429,2015,530771001265,Whittier Elementary School,Washington,Seattle Public Schools,98117,47.683653,-122.373356,53033.0,Primary,Regular school
430,2015,530771001267,Wing Luke Elementary School,Washington,Seattle Public Schools,98118,47.530615000000004,-122.28508000000001,53033.0,Primary,Regular school
431,2015,530771001307,Tops K-8 School,Washington,Seattle Public Schools,98102,47.642466999999996,-122.32415900000001,53033.0,Primary,Other/alternative school
432,2015,530771001311,Seattle World School,Washington,Seattle Public Schools,98112,47.621590000000005,-122.305301,53033.0,Other,Other/alternative school
433,2015,530771001365,Interagency Programs,Washington,Seattle Public Schools,98134,47.5805,-122.33031100000001,53033.0,Other,Other/alternative school
434,2015,530771001913,David T. Denny International Middle School,Washington,Seattle Public Schools,98126,47.527236,-122.37036,53033.0,Middle,Regular school
435,2015,530771002017,Catharine Blaine K-8 School,Washington,Seattle Public Schools,98199,47.642841,-122.400346,53033.0,Primary,Regular school
436,2015,530771002231,Orca K-8 School,Washington,Seattle Public Schools,98118,47.554584999999996,-122.27584399999999,53033.0,Primary,Other/alternative school
437,2015,530771002269,Hawthorne Elementary School - Seattle,Washington,Seattle Public Schools,98118,47.565769,-122.283372,53033.0,Primary,Regular school
438,2015,530771002347,Thurgood Marshall Elementary,Washington,Seattle Public Schools,98144,47.590978,-122.29933500000001,53033.0,Primary,Regular school
439,2015,530771002349,Middle College High School,Washington,Seattle Public Schools,98125,47.70624,-122.32604099999999,53033.0,High,Regular school
440,2015,530771002634,Education Service Centers,Washington,Seattle Public Schools,98108,47.6951,-122.34048100000001,53033.0,Other,Other/alternative school
441,2015,530771002635,Cascade Parent Partnership Program,Washington,Seattle Public Schools,98119,47.64627,-122.35861100000001,53033.0,Other,Other/alternative school
442,2015,530771002716,Salmon Bay K-8 School,Washington,Seattle Public Schools,98117,47.676583,-122.38056499999999,53033.0,Primary,Other/alternative school
443,2015,530771002718,Experimental Education Unit,Washington,Seattle Public Schools,98195,47.65074,-122.3076,53033.0,Primary,Special education school
444,2015,530771002842,The Center School,Washington,Seattle Public Schools,98109,47.621713,-122.34828999999999,53033.0,High,Regular school
445,2015,530771002873,Residential Consortium,Washington,Seattle Public Schools,98119,47.638773,-122.369972,53033.0,Other,Special education school
446,2015,530771002928,Interagency Detention School,Washington,Seattle Public Schools,98122,47.603914,-122.316042,53033.0,Other,Regular school
447,2015,530771002933,South Shore PK-8 School,Washington,Seattle Public Schools,98118,47.523337,-122.272377,53033.0,Primary,Regular school
448,2015,530771002935,Hutch School,Washington,Seattle Public Schools,98109,47.623511,-122.33335600000001,53033.0,Other,Other/alternative school
449,2015,530771003033,Birth to 3 Contracts,Washington,Seattle Public Schools,98134,47.581291,-122.330976,53033.0,Primary,Special education school
450,2015,530771003046,Private School Services,Washington,Seattle Public Schools,98124,47.615455,-122.346597,53033.0,Other,Special education school
451,2015,530771003271,Hazel Wolf K-8,Washington,Seattle Public Schools,98115,47.67716,-122.32248100000001,53033.0,Primary,Regular school
452,2015,530771003316,Sand Point Elementary,Washington,Seattle Public Schools,98115,47.67365,-122.26293100000001,53033.0,Primary,Regular school
453,2015,530771003318,Queen Anne Elementary,Washington,Seattle Public Schools,98109,47.63796,-122.34896100000002,53033.0,Primary,Regular school
454,2015,530771003332,McDonald International School,Washington,Seattle Public Schools,98105,47.66827,-122.326591,53033.0,Primary,Regular school
455,2015,530771003356,Viewlands Elementary School,Washington,Seattle Public Schools,98177,47.70597,-122.361121,53033.0,Primary,Regular school
456,2015,530771003361,Rainier View Elementary School,Washington,Seattle Public Schools,98178,47.498678000000005,-122.26428500000002,53033.0,Primary,Regular school
457,2015,530771003390,Cascadia Elementary,Washington,Seattle Public Schools,98103,47.659909999999996,-122.339891,53033.0,Primary,Regular school
458,2015,530771003414,Seattle Skills Center,Washington,Seattle Public Schools,98124,47.5805,-122.33031100000001,53033.0,High,Vocational school
459,2015,530771003426,STEM K-8,Washington,Seattle Public Schools,98106,47.54861,-122.362141,53033.0,Primary,Regular school
